text,airline_sentiment
['said'],neutral
"['plus', 'added', 'commercial', 'experience', 'tack']",positive
"['today', 'must', 'mean', 'need', 'take', 'another', 'trip']",neutral
"['really', 'aggressive', 'blast', 'obnoxious', 'entertainment', 'guest', 'face', 'amp', 'little', 'recourse']",negative
"['really', 'big', 'bad', 'thing']",negative
"['seriously', 'would', 'pay', '30', 'flight', 'seat', 'playing', 'really', 'bad', 'thing', 'flying', 'va']",negative
"['yes', 'nearly', 'every', 'time', 'fly', 'vx', 'ear', 'worm', 'wont', 'go', 'away', 'happy', 'face', 'smiley']",positive
"['really', 'missed', 'prime', 'opportunity', 'men', 'without', 'hat', 'parody']",neutral
"['well', 'didntbut']",positive
"['amazing', 'arrived', 'hour', 'early', 'good']",positive
"['know', 'suicide', 'second', 'leading', 'cause', 'death', 'among', 'teen', '1024']",neutral
"['lt3', 'pretty', 'graphic', 'much', 'better', 'minimal', 'iconography']",positive
"['great', 'deal', 'already', 'thinking', '2nd', 'trip', 'amp', 'even', 'gone', '1st', 'trip', 'yet', 'p']",positive
"['flying', 'fabulous', 'seductive', 'sky', 'take', 'stress', 'away', 'travel']",positive
['thanks'],positive
"['sfondo', 'schedule', 'still', 'mia']",negative
"['excited', 'first', 'cross', 'country', 'flight', 'los', 'angeles', 'airport', 'co', 'heard', 'nothing', 'great', 'thing', 'virgin', 'america', '29daystogo']",positive
"['flew', 'new', 'york', 'city', 'san', 'francisco', 'airport', 'last', 'week', 'could', 'fully', 'sit', 'seat', 'due', 'two', 'large', 'gentleman', 'either', 'side', 'help']",negative
"['red', 'heart', 'flying', 'smiling', 'face', 'thumb']",positive
"['know', 'would', 'amazingly', 'awesome', 'bosfll', 'please', 'want', 'fly']",positive
"['first', 'fare', 'may', 'three', 'time', 'carrier', 'seat', 'available', 'select']",negative
"['love', 'graphic']",positive
"['love', 'sister', 'innovation', 'feel', 'good', 'brand']",positive
"['making', 'bosgtlas', 'non', 'stop', 'permanently', 'anytime', 'soon']",neutral
"['guy', 'messed', 'seating', 'reserved', 'seating', 'friend', 'guy', 'gave', 'seat', 'away', 'posting', 'face', 'want', 'free', 'internet']",negative
"['status', 'match', 'program', 'applied', 'three', 'week', 'called', 'emailed', 'response']",negative
"['happened', '2', 'ur', 'vegan', 'food', 'option', 'least', 'say', 'ur', 'site', 'know', 'able', '2', 'eat', 'anything', 'next', '6', 'hr', 'fail']",negative
"['miss', 'worry', 'well', 'together', 'soon']",neutral
"['amazing', 'can', 'not', 'get', 'cold', 'air', 'vent', 'vx358', 'noir', 'worstflightever', 'roasted', 'sfotobos']",negative
"['los', 'angeles', 'airport', 'er', 'middle', 'seat', 'red', 'eye', 'noon', 'maneuver', 'sendambien', 'andchexmix']",neutral
"['hi', 'booked', 'cool', 'birthday', 'trip', 'can', 'not', 'add', 'elevate', 'cause', 'entered', 'middle', 'name', 'flight', 'booking', 'problem', 'cry', 'face']",negative
"['hour', 'operation', 'club', 'san', 'francisco', 'airport', 'posted', 'online', 'current']",neutral
"['help', 'left', 'expensive', 'headphone', 'flight', '89', 'id', 'los', 'angeles', 'airport', 'today', 'seat', '2a', 'one', 'answering', 'lamp', 'number', 'lax']",negative
"['awaiting', 'return', 'phone', 'call', 'would', 'prefer', 'use', 'online', 'selfservice', 'option', 'brown', 'sad', 'angry', 'posting']",negative
"['great', 'news', 'america', 'could', 'start', 'flight', 'hawaii', 'end', 'year', 'via']",positive
"['nice', 'rt', 'vibe', 'moonlight', 'takeoff', 'touchdown', 'moodlitmonday', 'sciencebehindtheexperience']",neutral
"['moodlighting', 'way', 'fly', 'best', 'experience', 'ever', 'cool', 'calming', 'purple', 'heart', 'airplane', 'moodlitmonday']",positive
"['done', 'done', 'best', 'airline', 'around', 'hand']",positive
"['book', 'flight', 'hawaii']",neutral
"['chat', 'support', 'working', 'site']",negative
"['view', 'downtown', 'los', 'angeles', 'hollywood', 'sign', 'beyond', 'rain', 'mountain']",positive
"['hey', 'first', 'time', 'flyer', 'next', 'week', 'excited', 'hard', 'time', 'getting', 'flight', 'added', 'elevate', 'account', 'help']",negative
"['please', 'help', 'win', 'bid', 'upgrade', 'flight', '227', 'laxgtsea', 'wine', 'glass', 'thumb', 'seat', 'airplane']",neutral
"['unused', 'ticket', 'moved', 'new', 'city', 'fly', 'fly', 'expires', 'travelhelp']",neutral
"['flight', 'leaving', 'dallas', 'seattle', 'time', 'feb', '24']",neutral
"['elevategold', 'good', 'reason', 'rock']",positive
['dream'],neutral
"['wow', 'blew', 'mind']",positive
"['last', 'night', 'tribute', 'soundofmusic', 'oscars2015', 'think', 'agree']",neutral
['entertaining'],neutral
